#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
0.020000000000000004,-2.402672528863841,731.04463125801,295.52239372256287,3375.0
0.04000000000000002,-2.264972686410838,724.7932218465796,292.9480780890961,3375.0
0.06000000000000004,-2.403402956060043,712.9390670863474,288.2275495279097,3390.9658283478357
0.08000000000000006,-2.7094749527488857,707.8620954287733,286.3052468884215,3390.9658283478357
0.10000000000000007,-3.048901603853769,706.6271963218986,285.9444409214824,3382.7209147636313
0.12000000000000009,-3.2999165517450044,700.2836685689925,283.48963065954905,3382.7209147636313
0.1400000000000001,-3.417347000277109,697.1613707092419,282.278902082871,3382.7209147636313
0.16000000000000011,-3.3850568433465114,699.3135372574268,283.1330478985348,3394.1833248047624
0.18000000000000013,-3.3417082925500026,701.0024278654544,283.7960737563071,3394.1833248047624
0.20000000000000015,-3.329782118386184,694.003298240417,280.9711618892857,3394.1833248047624
0.22000000000000017,-3.348496069497024,678.408526557201,274.6952183525294,3394.1833248047624
0.24000000000000019,-3.401598562783157,699.1580676088868,283.07707071523674,3394.1833248047624
0.2600000000000002,-3.455336377024272,711.6402321904901,288.12806737766203,3400.1025816367473
0.2800000000000002,-3.4759228676553757,720.7498414143923,291.8068283176551,3400.1025816367473
0.3000000000000002,-3.546735071130576,711.1340803946177,287.9609540365878,3399.565223450773
0.32000000000000023,-3.6463852157076024,723.8122440422694,293.1094222345401,3399.565223450773
0.34000000000000025,-3.720999502130332,708.2786865341286,286.88066676469816,3399.565223450773
0.36000000000000026,-3.620290937171343,703.2672158197602,284.8208549009617,3414.8339119122847
0.3800000000000003,-2.7734593770364553,719.6344377004643,291.07436878718346,3414.8339119122847
0.4000000000000003,-0.3712217513917624,705.8629218261243,284.5576001998344,3430.596411000008
0.4200000000000003,4.030063658535606,723.7772916439475,290.0023254448219,3430.596411000008
0.44000000000000034,6.311805754482871,721.1607698495985,288.0287048963908,3430.596411000008
0.46000000000000035,3.184470861578872,743.9904192657085,298.4873569320766,3454.296803296895
0.48000000000000037,-1.0522604292383888,744.3903738068292,300.3555818051098,3454.296803296895
0.5000000000000003,-3.510401703432954,743.7931990474306,301.10540701579714,3476.8921355326916
0.5200000000000004,-3.7500335946835643,719.5824551060639,291.446907520787,3476.8921355326916
0.5400000000000004,-1.999302841738618,720.3914087749861,291.06744437900915,3476.8921355326916
0.5600000000000004,1.7460904245347524,700.4390869152815,281.51910264590026,3452.577603262328
0.5800000000000004,6.203244698521569,719.5662973721594,287.4299978074594,3452.577603262328
0.6000000000000004,6.905041230198815,720.8867399667472,287.6792642025153,3452.577603262328
0.6200000000000004,2.2302637224168325,717.1709226940841,288.0656508218455,3452.577603262328
0.6400000000000005,-2.363897788050697,734.5209155243904,296.90744352531595,3452.577603262328
0.6600000000000005,-4.418444144251868,737.846514520523,299.0752249390424,3452.577603262328
0.6800000000000005,-5.13217018795304,738.3258314554662,299.5559287538121,3452.577603262328
0.7000000000000005,-5.1541837433790025,741.8601526358659,300.98885590288415,3453.646326138698
0.7200000000000005,-4.460648415467626,743.3611063902761,301.3141829235203,3453.646326138698
0.7400000000000005,-2.0405575016950426,735.5008301196183,297.1719920626312,3453.646326138698
0.7600000000000006,3.4208935235511206,730.8826445114684,293.11068004965466,3449.1825571859977
0.7800000000000006,8.235289904929294,733.132009651221,292.0771713455057,3449.1825571859977
0.8000000000000006,5.492134676801063,739.3790588616598,295.6995266558643,3467.6346061766976
0.8200000000000006,-0.3877811566721425,747.8458163715172,301.48012360739216,3467.6346061766976
0.8400000000000006,-3.205340279711388,742.3681359081734,300.4083009665284,3467.6346061766976
0.8600000000000007,-4.0762369406560355,733.737172931697,297.2815959378626,3478.0302708110557
0.8800000000000007,-4.04326341274771,734.8594243752619,297.7204904779365,3478.0302708110557
0.9000000000000007,-3.7440932665117836,745.9735026236526,302.0780598816779,3470.0037396076386
0.9200000000000007,-3.399567214036808,753.0646083306424,304.79640836922175,3470.0037396076386
0.9400000000000007,-3.1298955354937172,733.5177111726157,296.81186765618804,3470.0037396076386
0.9600000000000007,-2.9127775721177587,720.6372220970765,291.5345475758044,3478.5856860618815
0.9800000000000008,-2.815598159275962,723.4900853641406,292.6448745000944,3478.5856860618815
1.0000000000000007,-3.0071642125329507,742.6075048496642,300.42489850088197,3512.1091989863216
1.0200000000000007,-3.198467942543937,726.4458258276501,293.9900755619024,3512.1091989863216
1.0400000000000007,-3.4129960263452066,716.9103652586856,290.23446249260655,3512.1091989863216
1.0600000000000007,-3.6204616303812087,726.0962073237379,294.0192371492301,3508.1946228139227
1.0800000000000007,-3.7799345727335036,737.3156141464342,298.60404340413936,3508.1946228139227
1.1000000000000008,-3.8947003066256918,739.5653492406293,299.55675390026846,3471.462023723139
1.1200000000000008,-3.9171555220797933,766.431120258598,310.3906242252781,3471.462023723139
1.1400000000000008,-3.8997891127780355,789.229363460867,319.56955119957746,3471.462023723139
1.1600000000000008,-3.8245792863528782,785.8070365013916,318.1603150652765,3506.5987786400146
1.1800000000000008,-3.780391502157932,782.2008884447057,316.68951275948217,3506.5987786400146
1.2000000000000008,-3.570695638370363,790.1453524309279,319.8060245778896,3527.3993991214106
1.2200000000000009,-3.543478965473024,799.3251793089391,323.49381681962205,3527.3993991214106
1.2400000000000009,-3.5108683106420915,806.3428430113079,326.30825159391264,3527.3993991214106
1.260000000000001,-3.4822988507269304,800.1740070137264,323.81117772614795,3527.3993991214106
1.280000000000001,-3.4793581959722917,821.1733176711084,332.2710868302164,3527.3993991214106
